market,date_utc,date_kst,open,high,low,close,volume,trade_price,source,crawled_at
KRW-BTC,2020-06-20T00:00:00,2020-06-20T09:00:00,11285000,11351000,11155000,11325000,1263.7329,11325000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-21T00:00:00,2020-06-21T09:00:00,11317000,11355000,11225000,11238000,909.5552699,11238000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-22T00:00:00,2020-06-22T09:00:00,11235000,11675000,11232000,11593000,2696.344505,11593000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-23T00:00:00,2020-06-23T09:00:00,11593000,11649000,11488000,11509000,2329.403946,11509000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-24T00:00:00,2020-06-24T09:00:00,11506000,11553000,11110000,11233000,3231.001307,11233000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-25T00:00:00,2020-06-25T09:00:00,11232000,11232000,10842000,11147000,2709.109893,11147000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-26T00:00:00,2020-06-26T09:00:00,11151000,11185000,10901000,11045000,2087.941295,11045000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-27T00:00:00,2020-06-27T09:00:00,11045000,11051000,10791000,10913000,1712.146247,10913000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-28T00:00:00,2020-06-28T09:00:00,10913000,11163000,10756000,10970000,2015.602425,10970000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-29T00:00:00,2020-06-29T09:00:00,10970000,11033000,10814000,10972000,1945.523093,10972000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-06-30T00:00:00,2020-06-30T09:00:00,10980000,11004000,10882000,10903000,1491.98629,10903000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-01T00:00:00,2020-07-01T09:00:00,10903000,11111000,10887000,11051000,1746.779919,11051000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-02T00:00:00,2020-07-02T09:00:00,11041000,11077000,10772000,10888000,2255.067306,10888000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-03T00:00:00,2020-07-03T09:00:00,10888000,10920000,10821000,10837000,1446.240884,10837000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-04T00:00:00,2020-07-04T09:00:00,10845000,10960000,10814000,10884000,1102.13769,10884000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-05T00:00:00,2020-07-05T09:00:00,10883000,10900000,10700000,10831000,1232.809558,10831000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-06T00:00:00,2020-07-06T09:00:00,10831000,11102000,10796000,11065000,2834.356263,11065000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-07T00:00:00,2020-07-07T09:00:00,11065000,11097000,10952000,10988000,1828.517133,10988000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-08T00:00:00,2020-07-08T09:00:00,10988000,11208000,10968000,11138000,3274.769819,11138000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-09T00:00:00,2020-07-09T09:00:00,11135000,11149000,10906000,10961000,2625.432216,10961000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-10T00:00:00,2020-07-10T09:00:00,10961000,11062000,10880000,11043000,2044.037311,11043000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-11T00:00:00,2020-07-11T09:00:00,11039000,11044000,10910000,10957000,1039.648489,10957000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-12T00:00:00,2020-07-12T09:00:00,10968000,11061000,10915000,11036000,1317.605221,11036000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-13T00:00:00,2020-07-13T09:00:00,11036000,11063000,10908000,11000000,2605.403482,11000000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-14T00:00:00,2020-07-14T09:00:00,11011000,11040000,10925000,11010000,2495.548972,11010000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-15T00:00:00,2020-07-15T09:00:00,11011000,11017000,10955000,10975000,1649.894148,10975000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-16T00:00:00,2020-07-16T09:00:00,10975000,11003000,10835000,10934000,2068.356192,10934000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-17T00:00:00,2020-07-17T09:00:00,10924000,10980000,10875000,10937000,1615.753153,10937000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-18T00:00:00,2020-07-18T09:00:00,10949000,10990000,10894000,10905000,948.9275781,10905000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-19T00:00:00,2020-07-19T09:00:00,10908000,10971000,10869000,10943000,976.0132627,10943000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-20T00:00:00,2020-07-20T09:00:00,10943000,10981000,10908000,10950000,1677.889243,10950000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-21T00:00:00,2020-07-21T09:00:00,10940000,11220000,10930000,11123000,3235.468313,11123000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-22T00:00:00,2020-07-22T09:00:00,11117000,11280000,11066000,11269000,2474.643167,11269000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-23T00:00:00,2020-07-23T09:00:00,11258000,11418000,11183000,11331000,3090.334931,11331000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-24T00:00:00,2020-07-24T09:00:00,11322000,11438000,11238000,11346000,2160.087493,11346000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-25T00:00:00,2020-07-25T09:00:00,11346000,11500000,11333000,11477000,1583.496706,11477000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-26T00:00:00,2020-07-26T09:00:00,11477000,11909000,11416000,11715000,4143.370234,11715000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-27T00:00:00,2020-07-27T09:00:00,11706000,13275000,11701000,12916000,10523.35455,12916000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-28T00:00:00,2020-07-28T09:00:00,12914000,13202000,12515000,12772000,7553.152932,12772000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-29T00:00:00,2020-07-29T09:00:00,12774000,13368000,12701000,13124000,5839.53217,13124000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-30T00:00:00,2020-07-30T09:00:00,13123000,13170000,12800000,13098000,4755.532715,13098000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-07-31T00:00:00,2020-07-31T09:00:00,13097000,13580000,12961000,13416000,4608.299785,13416000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-01T00:00:00,2020-08-01T09:00:00,13404000,13969000,13271000,13922000,5463.181738,13922000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-02T00:00:00,2020-08-02T09:00:00,13922000,14380000,12871000,13030000,10730.69158,13030000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-03T00:00:00,2020-08-03T09:00:00,13030000,13573000,12945000,13272000,4402.742824,13272000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-04T00:00:00,2020-08-04T09:00:00,13273000,13488000,13130000,13319000,4322.71666,13319000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-05T00:00:00,2020-08-05T09:00:00,13322000,13881000,13229000,13843000,7147.339005,13843000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-06T00:00:00,2020-08-06T09:00:00,13843000,14036000,13666000,13884000,5736.954701,13884000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-07T00:00:00,2020-08-07T09:00:00,13883000,14064000,13551000,13777000,4462.328065,13777000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-08T00:00:00,2020-08-08T09:00:00,13777000,13960000,13710000,13887000,2600.978883,13887000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-09T00:00:00,2020-08-09T09:00:00,13884000,13905000,13652000,13820000,2856.75718,13820000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-10T00:00:00,2020-08-10T09:00:00,13814000,14280000,13746000,13990000,6087.496937,13990000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-11T00:00:00,2020-08-11T09:00:00,13994000,14042000,13337000,13619000,7038.425569,13619000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-12T00:00:00,2020-08-12T09:00:00,13619000,13745000,13306000,13709000,4491.106464,13709000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-13T00:00:00,2020-08-13T09:00:00,13708000,13890000,13398000,13810000,6509.120091,13810000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-14T00:00:00,2020-08-14T09:00:00,13810000,13939000,13706000,13846000,5427.795611,13846000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-15T00:00:00,2020-08-15T09:00:00,13845000,14051000,13796000,13878000,3784.706795,13878000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-16T00:00:00,2020-08-16T09:00:00,13867000,13962000,13751000,13889000,2621.220263,13889000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-17T00:00:00,2020-08-17T09:00:00,13889000,14382000,13809000,14204000,7068.798724,14204000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-18T00:00:00,2020-08-18T09:00:00,14202000,14339000,13811000,14000000,5958.553612,14000000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-19T00:00:00,2020-08-19T09:00:00,14002000,14084000,13666000,13878000,5471.161526,13878000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-20T00:00:00,2020-08-20T09:00:00,13884000,14050000,13750000,13967000,3049.387612,13967000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-21T00:00:00,2020-08-21T09:00:00,13951000,14012000,13761000,13781000,4571.555757,13781000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-22T00:00:00,2020-08-22T09:00:00,13781000,13850000,13500000,13840000,3325.653349,13840000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-23T00:00:00,2020-08-23T09:00:00,13850000,13856000,13700000,13802000,2120.58334,13802000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-24T00:00:00,2020-08-24T09:00:00,13816000,13940000,13745000,13876000,3402.101195,13876000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-25T00:00:00,2020-08-25T09:00:00,13876000,13884000,13341000,13476000,5630.219385,13476000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-26T00:00:00,2020-08-26T09:00:00,13473000,13633000,13350000,13561000,7348.775059,13561000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-27T00:00:00,2020-08-27T09:00:00,13561000,13675000,13245000,13401000,5462.363708,13401000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-28T00:00:00,2020-08-28T09:00:00,13401000,13550000,13332000,13549000,3043.467661,13549000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-29T00:00:00,2020-08-29T09:00:00,13546000,13568000,13416000,13470000,2279.262696,13470000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-30T00:00:00,2020-08-30T09:00:00,13470000,13687000,13465000,13671000,2403.720391,13671000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-08-31T00:00:00,2020-08-31T09:00:00,13671000,13840000,13580000,13739000,3166.158375,13739000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-01T00:00:00,2020-09-01T09:00:00,13733000,14097000,13630000,13974000,4847.35215,13974000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-02T00:00:00,2020-09-02T09:00:00,13972000,14010000,13282000,13571000,5822.802291,13571000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-03T00:00:00,2020-09-03T09:00:00,13572000,13670000,12265000,12303000,7225.318548,12303000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-04T00:00:00,2020-09-04T09:00:00,12301000,12773000,12160000,12636000,6538.450248,12636000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-05T00:00:00,2020-09-05T09:00:00,12630000,12762000,12120000,12382000,4161.039253,12382000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-06T00:00:00,2020-09-06T09:00:00,12383000,12493000,12123000,12353000,2820.788902,12353000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-07T00:00:00,2020-09-07T09:00:00,12353000,12450000,11860000,12388000,3422.903789,12388000,upbit,2026-06-28T04:34:13Z
KRW-BTC,2020-09-08T00:00:00,2020-09-08T09:00:00,12388000,12448000,11900000,12131000,3338.502553,12131000,upbit,2026-06-28T04:34:13Z
